Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T04:45:00Z","24.158.248.45","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","206.189.50.91","10.0.0.6",UDP,3
"2023-09-14T04:45:00Z","205.210.31.153","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","183.136.225.29","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","183.136.225.5","10.0.0.6",TCP,8
"2023-09-14T04:45:00Z","162.243.138.5","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z",,"10.0.0.4",UDP,56
"2023-09-14T04:45:00Z","89.248.165.99","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","45.79.153.72","10.0.0.4",TCP,2
"2023-09-14T04:45:00Z","45.79.82.114","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.109","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","39.100.73.242","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.88","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","198.235.24.232","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","179.43.191.194","10.0.0.6",TCP,4
"2023-09-14T04:45:00Z","143.42.1.71","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","141.98.7.19","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","80.94.95.249","10.0.0.6",TCP,6
"2023-09-14T04:45:00Z","79.124.58.78","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.33.95.64","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.239","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","205.210.31.69","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.249","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","198.235.24.75","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","45.128.232.115","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","45.128.232.125","10.0.0.4",TCP,2
"2023-09-14T04:45:00Z","65.49.1.118","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","79.124.62.82","10.0.0.4",TCP,3
"2023-09-14T04:45:00Z","104.237.234.93","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","143.42.1.71","10.0.0.4",TCP,2
"2023-09-14T04:45:00Z","179.43.191.194","10.0.0.4",TCP,3
"2023-09-14T04:45:00Z","183.136.225.29","10.0.0.4",TCP,3
"2023-09-14T04:45:00Z","198.235.24.3","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.195","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","43.157.5.232","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.79.82.114","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","45.79.186.176","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","65.49.1.24","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","207.90.244.13","10.0.0.6",TCP,2
"2023-09-14T04:45:00Z","94.102.61.51","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","104.236.128.30","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.216.150.9","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","177.131.28.60","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","37.44.238.199","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","139.59.42.255","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.31","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","74.82.47.15","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","205.210.31.78","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","185.36.81.33","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","198.235.24.12","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","64.62.197.15","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","198.235.24.107","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","38.107.226.197","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","185.236.228.66","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","2.58.113.70","10.0.0.4",UDP,1
"2023-09-14T04:45:00Z","103.45.246.42","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","162.216.149.128","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","205.210.31.71","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","198.199.114.60","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","198.235.24.196","10.0.0.6",UDP,1
"2023-09-14T04:45:00Z","35.203.210.17","10.0.0.4",TCP,3
"2023-09-14T04:45:00Z","35.203.210.50","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","37.44.238.174","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","43.157.20.143","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","10.0.0.6",,TCP,29
"2023-09-14T04:45:00Z","10.0.0.4",,TCP,23
"2023-09-14T04:45:00Z","2.57.122.73","10.0.0.4",TCP,1
"2023-09-14T04:45:00Z","192.241.219.50","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","162.216.149.197","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","119.28.161.236","10.0.0.6",TCP,1
"2023-09-14T04:45:00Z","91.240.118.75","10.0.0.6",TCP,4
"2023-09-14T04:45:00Z","65.49.1.16","10.0.0.6",TCP,1
